"Наименование товара";"Цена минимальная";"Валюта";"Ссылка на страницу товара";
"Модульный контактор ABB ESB-24-40 (24А AC1) 220В АС/DC";"1264,7";"руб.";"http://shop220.ru/product514.htm";
"Модульный контактор ABB ESB-40-40 (40А AC1) 220В АС/DC";"2529,3";"руб.";"http://shop220.ru/product515.htm";
"Модульный контактор ABB ESB-63-40 (63А AC1) 220В АС/DC";"3404,8";"руб.";"http://shop220.ru/product516.htm";
"Модульный звонок ABB SM1-230 переменного тока, прерывистый режим работы (макс.15 минут)";"1123,5";"руб.";"http://shop220.ru/product517.htm";
"Контактный блок ABB CAL5-11 1HO+1H3 боковой для А9...А75";"585,3";"руб.";"http://shop220.ru/product519.htm";
"Контактный блок ABB СА5-01 1Н3 фронтальный для А9…А110";"220";"руб.";"http://shop220.ru/product520.htm";
"Миниконтактор ABB B7-40-00 12A (400В AC3) катушка 230В АС";"1268,3";"руб.";"http://shop220.ru/product524.htm";
"Модульное реле перекоса фаз и падения напряжения ABB SQZ3";"9017";"руб.";"http://shop220.ru/product525.htm";
"Реверсивная электромеханическая блокировка ABB VЕ-5-2 для А50.. А110";"1468,2";"руб.";"http://shop220.ru/product526.htm";
"Реле времени ABB CT-AHD.12 (задержка на отключ.) 24-48B DC, 24- 240B AC (7диапазон.0,05с...100ч) 1ПК";"3319,9";"руб.";"http://shop220.ru/product528.htm";
"Реле времени ABB CT-ERD.12 (задержка на включ.) 24-48B DC, 24-240B AC (7диапазонов 0,05с...100ч) 1ПК";"3319,9";"руб.";"http://shop220.ru/product530.htm";
"Реле управления нагрузкой ABB LSS1/2 (реле приоритета)";"12728,8";"руб.";"http://shop220.ru/product532.htm";
"Розетка щитовая ABB M1173 2Р+N 16A";"504,4";"руб.";"http://shop220.ru/product533.htm";
"Электромеханическое блокировочное реле ABB E251-230 1Н.О.";"1261,5";"руб.";"http://shop220.ru/product535.htm";
"Рубильник ABB 1-полюсный E201r 16A рычаг красный";"519,4";"руб.";"http://shop220.ru/product546.htm";
"Рубильник ABB 1-полюсный E201r 25A рычаг красный";"519,9";"руб.";"http://shop220.ru/product547.htm";
"Рубильник ABB 1-полюсный E201r 32A рычаг красный";"559,9";"руб.";"http://shop220.ru/product548.htm";
"Рубильник ABB 1-полюсный E201r 45A рычаг красный";"578,5";"руб.";"http://shop220.ru/product549.htm";
"Рубильник ABB 1-полюсный E201r 63A рычаг красный";"686,7";"руб.";"http://shop220.ru/product550.htm";
